DT-Index;Datum;Zeit;Quotation [Euro/MWh]
05.10.2021 05:45:00;05.10.2021;05:45:00;40,846
05.10.2021 06:00:00;05.10.2021;06:00:00;50,937
05.10.2021 06:15:00;05.10.2021;06:15:00;24,302
05.10.2021 06:30:00;05.10.2021;06:30:00;44,158
05.10.2021 06:45:00;05.10.2021;06:45:00;60,051
05.10.2021 07:00:00;05.10.2021;07:00:00;70,539
05.10.2021 07:15:00;05.10.2021;07:15:00;49,339
05.10.2021 07:30:00;05.10.2021;07:30:00;59,674
05.10.2021 07:45:00;05.10.2021;07:45:00;63,613
05.10.2021 08:00:00;05.10.2021;08:00:00;66,368
05.10.2021 08:15:00;05.10.2021;08:15:00;64,457
05.10.2021 08:30:00;05.10.2021;08:30:00;62,450
05.10.2021 08:45:00;05.10.2021;08:45:00;58,939
05.10.2021 09:00:00;05.10.2021;09:00:00;51,518
05.10.2021 09:15:00;05.10.2021;09:15:00;63,132
05.10.2021 09:30:00;05.10.2021;09:30:00;56,423
05.10.2021 09:45:00;05.10.2021;09:45:00;52,808
05.10.2021 10:00:00;05.10.2021;10:00:00;47,651
05.10.2021 10:15:00;05.10.2021;10:15:00;57,980
05.10.2021 10:30:00;05.10.2021;10:30:00;52,570
05.10.2021 10:45:00;05.10.2021;10:45:00;49,935
05.10.2021 11:00:00;05.10.2021;11:00:00;46,340
05.10.2021 11:15:00;05.10.2021;11:15:00;52,647
05.10.2021 11:30:00;05.10.2021;11:30:00;51,956
05.10.2021 11:45:00;05.10.2021;11:45:00;49,997
05.10.2021 12:00:00;05.10.2021;12:00:00;45,793
05.10.2021 12:15:00;05.10.2021;12:15:00;49,988
05.10.2021 12:30:00;05.10.2021;12:30:00;45,964
05.10.2021 12:45:00;05.10.2021;12:45:00;45,682
05.10.2021 13:00:00;05.10.2021;13:00:00;46,225
05.10.2021 13:15:00;05.10.2021;13:15:00;48,825
05.10.2021 13:30:00;05.10.2021;13:30:00;48,460
05.10.2021 13:45:00;05.10.2021;13:45:00;47,321
05.10.2021 14:00:00;05.10.2021;14:00:00;44,963
05.10.2021 14:15:00;05.10.2021;14:15:00;41,000
05.10.2021 14:30:00;05.10.2021;14:30:00;46,708
05.10.2021 14:45:00;05.10.2021;14:45:00;50,394
05.10.2021 15:00:00;05.10.2021;15:00:00;54,505
05.10.2021 15:15:00;05.10.2021;15:15:00;43,924
05.10.2021 15:30:00;05.10.2021;15:30:00;48,365
05.10.2021 15:45:00;05.10.2021;15:45:00;51,615
05.10.2021 16:00:00;05.10.2021;16:00:00;55,580
05.10.2021 16:15:00;05.10.2021;16:15:00;43,618
05.10.2021 16:30:00;05.10.2021;16:30:00;49,108
05.10.2021 16:45:00;05.10.2021;16:45:00;53,553
05.10.2021 17:00:00;05.10.2021;17:00:00;59,668
05.10.2021 17:15:00;05.10.2021;17:15:00;48,327
05.10.2021 17:30:00;05.10.2021;17:30:00;56,512
05.10.2021 17:45:00;05.10.2021;17:45:00;61,713
05.10.2021 18:00:00;05.10.2021;18:00:00;65,554
05.10.2021 18:15:00;05.10.2021;18:15:00;57,070
05.10.2021 18:30:00;05.10.2021;18:30:00;56,837
05.10.2021 18:45:00;05.10.2021;18:45:00;59,044
05.10.2021 19:00:00;05.10.2021;19:00:00;61,775
